trial_no,y1,y2,x,y
168,2.412777095622621,39.73458597704655,0.622680154126065,0.4641806755598461
107,2.7926616848439942,38.95065255813094,0.6511922901586851,0.5235589961493217
9,3.3836404520094625,37.883518510694316,0.7019346929761688,0.5943044672546364
163,4.159562231553761,36.636196266029664,0.75595140036207,0.6844180288238071
82,4.777564024400197,35.7401140155762,0.7831450431509546,0.7622826559014306
41,6.909487269151059,33.189579196043226,0.9944286603209576,0.8593506018034959
51,7.186406645709179,33.01230046867215,1.0663995809573419,0.8120305383181721
3,7.768126412928175,32.26219922305707,0.9313010568883545,1.0366821811291431
119,8.096054033426785,31.93260495291633,1.0579090612780648,0.9512317942659718
199,9.104775140897623,30.954615194958947,1.1057350596829836,1.026422799343562
84,9.545631784109908,30.69180137479277,1.2134318721114847,0.9560287850119862
59,11.054884103489742,30.089218340962788,0.8230358474712505,1.4444144210197143
101,11.658351189144915,29.22677582056039,0.9509108180600446,1.417870379612539
42,13.10065397625714,27.68223084396216,1.2889333407746801,1.2703599242355323
189,13.296709726899309,27.605199640825333,1.3777321632960262,1.1941656157939229
96,15.141286543158337,26.61877156491108,1.5765182710179866,1.1401367360698638
164,15.701070324293092,26.36861656941843,1.1244331561649745,1.63123194500051
50,15.910651217564148,25.863545400510866,1.2924697951224016,1.518941945265616
16,16.075784159662696,25.730044264622954,1.508349885380348,1.3205402921489235
20,16.93251742790843,25.337004742171167,1.6153923793648812,1.274220082115713
78,17.33216529297618,24.89484560061274,1.473407488422289,1.4704120838408417
183,18.159996357205603,24.844146418502888,1.2290772056982084,1.7405080613816428
158,18.75435499825419,24.273806583165424,1.3428432421280514,1.698634974511761
167,20.73964541131383,23.14978973025424,1.7655643012564666,1.437947861000955
40,21.724030960366626,22.70603930557391,1.8316837625559725,1.440813080895802
76,22.068683763268442,22.308606138946203,1.6208867440620693,1.6999697361250212
64,22.783204099791334,21.949903211505287,1.656693185071767,1.7178965962724875
62,22.888130867306387,21.89899674135703,1.7231197814831742,1.659183816063782
185,23.411989856779673,21.78460179008776,1.5457499623106121,1.8610896051001036
66,23.869570849102935,21.437333988498153,1.6728003527403454,1.7802055196374125
