trial_no,y1,y2,x,y
98,0.019464638849340896,49.30728751093248,0.06975786487798508,0.0
60,0.03952197214881857,49.01587380104742,0.09940066919897794,0.0
61,0.08012572640713886,48.604707030562054,0.14153244010397303,0.0
72,0.19848698818672,47.82202781980859,0.22275939272380862,0.0
71,0.35901295164817987,47.09386876230146,0.2995884475610583,0.0
13,0.7232517887507462,45.92860237869879,0.42522105684888956,0.0
9,1.9708492528141937,43.47336538344186,0.7019346929761688,0.0
2,2.1537291489524404,43.20063774638246,0.7337794540855652,0.0
82,2.4583541435064142,42.775018803572394,0.7839569732304214,0.0
55,2.970125081672626,42.125505853151736,0.8617025417266427,0.0
106,3.026057397024482,42.0587310152329,0.8697783334023218,0.0
1,4.000001308159884,40.994281586172725,0.0005718740867244332,1.0
187,4.09241411477665,39.503119032254716,0.15199844964394416,1.0
123,4.290620961552192,38.377191636700395,0.2695463603687648,1.0
89,4.440031025864876,37.79326603504414,0.33167417214220785,1.0
83,4.490310061103543,37.621470329314775,0.35011071859611165,1.0
15,4.967209972498557,36.32446080147213,0.4917341691652505,1.0
30,5.047233532351735,36.14508694169665,0.5116721441391292,1.0
22,5.06556084339674,36.10508988196709,0.5161300328882101,1.0
64,5.541901218786875,35.17680954870116,0.6208665755995557,1.0
152,6.5911803470481525,33.599223245981605,0.8048571840780439,1.0
110,7.1045120478670185,32.96631523321399,0.8809812778752762,1.0
3,7.4692866342454645,32.55431108967782,0.9313010568883545,1.0
157,7.723461594827995,32.28272879775136,0.9648136600955642,1.0
138,7.943000058995526,32.057255593393336,0.9928494421355544,1.0
26,8.478645948173444,31.53825568704041,1.0581405800002952,1.0
80,9.752694756811852,30.445785731823655,1.199238795737931,1.0
192,10.137159061559656,30.147644677272172,1.2386645088117743,1.0
176,10.74432554817461,29.701161722125995,1.2984919664917656,1.0
172,16.97502594030548,29.30658639405895,0.49371700910174177,2.0
107,17.824637893861382,27.702201571128782,0.6753957902336566,2.0
163,18.33086309101095,26.949133568094574,0.7633582204658163,2.0
186,18.572661361314047,26.62340636434606,0.8019758975982455,2.0
134,18.600251311005913,25.544925226175618,1.9105137601575861,1.0
102,19.210601708968007,25.302264720179686,1.9500385707062313,1.0
93,19.741682169400143,25.26370641118365,0.9671714131166387,2.0
78,19.819268208665758,25.1833429967005,0.977147405546594,2.0
